Date,Equity,Cash
2021-06-15,1890240.4551379723,1.0351379724452272
2021-06-16,1874191.9451379725,1.0351379724452272
2021-06-17,1783995.1181379727,770.6881379724509
2021-06-18,1734866.2981379724,770.6881379724509
2021-06-21,1784836.2281379725,770.6881379724509
2021-06-22,1780989.1881379725,770.6881379724509
2021-06-23,1792512.5481379724,770.6881379724509
2021-06-24,1793892.8659379724,6037.445937972399
2021-06-25,1794268.1159379724,6037.445937972399
2021-06-28,1784487.9159379727,6037.445937972399
2021-06-29,1796325.6159379724,6037.445937972399
2021-06-30,1811175.6559379725,6037.445937972399
2021-07-01,1805277.7432379723,438.84323797241086
2021-07-02,1812707.3832379724,438.84323797241086
2021-07-06,1797034.6432379722,438.84323797241086
2021-07-07,1821187.3732379721,438.84323797241086
2021-07-08,1795955.5432379723,438.84323797241086
2021-07-09,1831441.0332379723,438.84323797241086
2021-07-12,1830491.9132379724,438.84323797241086
2021-07-13,1805285.9432379724,438.84323797241086
2021-07-14,1807653.3032379723,438.84323797241086
2021-07-15,1775105.7674379721,31026.267437972303
2021-07-16,1759088.4774379723,31026.267437972303
2021-07-19,1744650.9374379725,31026.267437972303
2021-07-20,1764662.5874379724,31026.267437972303
2021-07-21,1785216.5474379724,31026.267437972303
2021-07-22,1758762.0865379723,165.83653797226725
2021-07-23,1784027.6565379724,165.83653797226725
2021-07-26,1793826.5265379723,165.83653797226725
2021-07-27,1807092.5265379723,165.83653797226725
2021-07-28,1803274.7165379727,165.83653797226725
2021-07-29,1820427.2986379724,54822.53863797227
2021-07-30,1820945.6586379723,54822.53863797227
2021-08-02,1819670.9786379721,54822.53863797227
2021-08-03,1882162.2986379724,54822.53863797227
2021-08-04,1880140.358637972,54822.53863797227
2021-08-05,1903058.1901379726,2980.730137972365
2021-08-06,1896469.6001379725,2980.730137972365
2021-08-09,1923251.1701379723,2980.730137972365
2021-08-10,1904221.6701379726,2980.730137972365
2021-08-11,1865248.1901379724,2980.730137972365
2021-08-12,1906734.2601379724,2980.730137972365
2021-08-13,1919367.3401379723,2980.730137972365
2021-08-16,1903657.6401379725,2980.730137972365
2021-08-17,1907205.4701379724,2980.730137972365
2021-08-18,1867760.4501379721,2980.730137972365
2021-08-19,1881531.8473379724,1615.3773379723425
2021-08-20,1915656.4773379725,1615.3773379723425
2021-08-23,1974952.2073379722,1615.3773379723425
2021-08-24,1947227.8873379722,1615.3773379723425
2021-08-25,1984417.0973379726,1615.3773379723425
2021-08-26,1985715.2873379725,1615.3773379723425
2021-08-27,2007697.1773379722,1615.3773379723425
2021-08-30,2008476.977337972,1615.3773379723425
2021-08-31,1999147.8173379723,1615.3773379723425
2021-09-01,1996214.0973379724,1615.3773379723425
2021-09-02,2012370.1000379727,116881.80003797234
2021-09-03,2044155.7000379723,116881.80003797234
2021-09-07,2034680.3700379722,116881.80003797234
2021-09-08,2015554.7400379723,116881.80003797234
2021-09-09,2036329.8717379724,1421.8017379723315
2021-09-10,2034036.5617379723,1421.8017379723315
2021-09-13,1980234.9417379722,1421.8017379723315
2021-09-14,1995067.0517379723,1421.8017379723315
2021-09-15,2018490.2317379725,1421.8017379723315
2021-09-16,2020275.6417379724,1421.8017379723315
2021-09-17,1985927.3017379723,1421.8017379723315
2021-09-20,1965247.0717379723,1421.8017379723315
2021-09-21,1965821.3017379723,1421.8017379723315
2021-09-22,2011174.4917379722,1421.8017379723315
2021-09-23,2062190.3727379723,1126.5127379723272
2021-09-24,2040462.1327379725,1126.5127379723272
2021-09-27,1976220.4527379724,1126.5127379723272
2021-09-28,1891573.7227379724,1126.5127379723272
2021-09-29,1894999.1127379725,1126.5127379723272
2021-09-30,1875581.300937972,197.2609379721107
2021-10-01,1860282.530937972,197.2609379721107
2021-10-04,1815333.5809379723,197.2609379721107
2021-10-05,1840598.1509379721,197.2609379721107
2021-10-06,1815799.860937972,197.2609379721107
2021-10-07,1829701.953737972,22404.97373797209
2021-10-08,1813796.023737972,22404.97373797209
2021-10-11,1796918.993737972,22404.97373797209
2021-10-12,1809221.5037379721,22404.97373797209
2021-10-13,1837093.213737972,22404.97373797209
2021-10-14,1870683.6667379723,14648.986737972125
2021-10-15,1862870.166737972,14648.986737972125
2021-10-18,1890025.3267379722,14648.986737972125
2021-10-19,1900050.526737972,14648.986737972125
2021-10-20,1889666.0067379721,14648.986737972125
2021-10-21,1939689.5307379721,16118.630737972126
2021-10-22,1935587.1507379722,16118.630737972126
2021-10-25,1962750.650737972,16118.630737972126
2021-10-26,1964915.5707379724,16118.630737972126
2021-10-27,1947520.6507379722,16118.630737972126
2021-10-28,1986276.5747379719,71.06473797216313
2021-10-29,1983179.274737972,71.06473797216313
2021-11-01,1977952.004737972,71.06473797216313
2021-11-02,2008688.6547379722,71.06473797216313
2021-11-03,1935115.234737972,71.06473797216313
2021-11-04,1922268.8622379722,1554.1822379721561
2021-11-05,1939875.4022379722,1554.1822379721561
2021-11-08,1961626.2822379721,1554.1822379721561
2021-11-09,1963639.1522379722,1554.1822379721561
2021-11-10,1910459.0522379722,1554.1822379721561
2021-11-11,1917987.2492379718,76490.21923797211
2021-11-12,1926906.669237972,76490.21923797211
2021-11-15,1933032.499237972,76490.21923797211
2021-11-16,1951619.8492379722,76490.21923797211
2021-11-17,1916838.229237972,76490.21923797211
2021-11-18,1907400.1178379722,3147.3178379722813
2021-11-19,1870044.357837972,3147.3178379722813
2021-11-22,1888449.8878379723,3147.3178379722813
2021-11-23,1935959.547837972,3147.3178379722813
2021-11-24,1966498.3278379724,3147.3178379722813
2021-11-26,1866139.0378379722,3147.3178379722813
2021-11-29,1927684.697837972,3147.3178379722813
2021-11-30,1849339.7678379724,3147.3178379722813
2021-12-01,1794894.0678379722,3147.3178379722813
2021-12-02,1814318.4672379724,1420.0772379723348
2021-12-03,1777633.607237972,1420.0772379723348
2021-12-06,1796355.5372379723,1420.0772379723348
2021-12-07,1895119.8972379724,1420.0772379723348
2021-12-08,1886832.567237972,1420.0772379723348
2021-12-09,1805566.4172379721,1420.0772379723348
2021-12-10,1838310.9572379726,1420.0772379723348
2021-12-13,1747475.5772379723,1420.0772379723348
2021-12-14,1719417.7172379724,1420.0772379723348
2021-12-15,1722925.7772379722,1420.0772379723348
2021-12-16,1719084.3517379726,4.981737972411793
2021-12-17,1675345.9917379725,4.981737972411793
2021-12-20,1636837.6617379724,4.981737972411793
2021-12-21,1718184.8617379726,4.981737972411793
2021-12-22,1751517.3517379723,4.981737972411793
2021-12-23,1756694.1817379724,4.981737972411793
2021-12-27,1847367.6117379724,4.981737972411793
2021-12-28,1840573.5417379725,4.981737972411793
2021-12-29,1826496.3217379726,4.981737972411793
2021-12-30,1799532.4417379724,4.981737972411793
2021-12-31,1809838.9417379724,4.981737972411793
2022-01-03,1884008.8017379725,4.981737972411793
2022-01-04,2017931.0317379723,4.981737972411793
2022-01-05,1970598.4917379725,4.981737972411793
2022-01-06,2010544.1904379725,19746.91043797246
